#;ISO;EN_country;Sco15;Diff sco14;Diff;Abuses score;Underlying situation score;Situation;EN_zone;ES_country;FR_Country;FR_zone;ES_zone;;;;;;
117;MKD;Macedonia;36,26;0,17;"+6 (123 ; 36,43)";16,09;36,26;Difficult situation;European Union & the Balkans;República de Macedonia;Macédoine;Union européenne & Balkans;Unión Europea y los Balcanes;;;;;;
118;MLI;Mali;36,33;-0,04;"+4 (122 ; 36,29)";51,93;32,43;Difficult situation;Africa;Malí;Mali;Afrique;África;;;;;;
119;DZA;Algeria;36,63;-0,37;"+2 (121 ; 36,26)";31,35;36,63;Difficult situation;Middle East & North Africa;Argelia;Algérie;Moyen-Orient & Afrique du Nord;Oriente Medio y África del Norte;;;;;;
120;ARE;United Arab Emirates;36,73;-0,7;"-2 (118 ; 36,03)";34,34;36,73;Difficult situation;Middle East & North Africa;Emiratos Árabes Unidos;Émirats arabes unis;Moyen-Orient & Afrique du Nord;Oriente Medio y África del Norte;;;;;;
121;BRN;Brunei Darussalam;36,76;-1,31;"-4 (117 ; 35,45)";;36,76;Difficult situation;Asia-Pacific;Brunéi;Brunei;Asie-Pacifique;Asia y el Pacífico;;;;;;
122;AFG;Afghanistan;37,44;-0,37;"+6 (128 ; 37,07)";61,57;31,4;Difficult situation;Asia-Pacific;Afganistán;Afghanistan;Asie-Pacifique;Asia y el Pacífico;;;;;;
123;AGO;Angola;37,84;-1,34;"+1 (124 ; 36,5)";6,93;37,84;Difficult situation;Africa;Angola;Angola;Afrique;África;;;;;;
124;GTM;Guatemala;37,92;-1,31;"+1 (125 ; 36,61)";48,44;35,29;Difficult situation;Americas;Guatemala;Guatemala;Amériques;Amériques;;;;;;
125;SSD;South Sudan;38,04;-1,99;"-6 (119 ; 36,05)";28,33;38,04;Difficult situation;Africa;Sudán del Sur;Soudan du Sud;Afrique;África;;;;;;
126;TUN;Tunisia;38,68;0,01;"+7 (133 ; 38,69)";49,45;35,99;Difficult situation;Middle East & North Africa;Túnez;Tunisie;Moyen-Orient & Afrique du Nord;Oriente Medio y África del Norte;;;;;;
127;OMN;Oman;38,83;-;"+7 (134 ; 38,83)";16,09;38,83;Difficult situation;Middle East & North Africa;Omán;Oman;Moyen-Orient & Afrique du Nord;Oriente Medio y África del Norte;;;;;;
128;COL;Colombia;39,08;-2,4;"-2 (126 ; 36,68)";55,53;34,96;Difficult situation;Americas;Colombia;Colombie;Amériques;Amériques;;;;;;
129;UKR;Ukraine;39,1;-2,17;"-2 (127 ; 36,93)";73,17;30,18;Difficult situation;Eastern Europe & Central Asia;Ucrania;Ukraine;Europe de l'Est & Asie centrale;Europa del Este y Asia central;;;;;;
130;MAR;Morocco;39,19;0,53;"+6 (136 ; 39,72)";20,79;39,19;Difficult situation;Middle East & North Africa;Marruecos;Maroc;Moyen-Orient & Afrique du Nord;Oriente Medio y África del Norte;;;;;;
131;ZWE;Zimbabwe;39,19;-;"+4 (135 ; 39,19)";31,78;39,19;Difficult situation;Africa;Zimbabue;Zimbabwe;Afrique;África;;;;;;
132;HND;Honduras;39,27;-2,13;"-3 (129 ; 37,14)";60,64;33,93;Difficult situation;Americas;Honduras;Honduras;Amériques;Amériques;;;;;;
133;CMR;Cameroon;39,63;-1,5;"-2 (131 ; 38,13)";27,08;39,63;Difficult situation;Africa;Camerún;Cameroun;Afrique;África;;;;;;
134;THA;Thailand;40,07;-2,13;"-4 (130 ; 37,94)";54,25;36,52;Difficult situation;Asia-Pacific;Tailandia;Thaïlande;Asie-Pacifique;Asia y el Pacífico;;;;;;
135;TCD;Chad;40,17;0,05;"+4 (139 ; 40,22)";6,93;40,17;Difficult situation;Africa;Chad;Tchad;Afrique;África;;;;;;
136;IND;India;40,49;-0,15;"+4 (140 ; 40,34)";59,58;35,72;Difficult situation;Asia-Pacific;India;Inde;Asie-Pacifique;Asia y el Pacífico;;;;;;
137;VEN;Venezuela;40,61;-5,24;"-21 (116 ; 35,37)";60,80;35,57;Difficult situation;Americas;Venezuela;Venezuela;Amériques;Amériques;;;;;;
138;IDN;Indonesia;40,75;-2,6;"-6 (132 ; 38,15)";27,08;40,75;Difficult situation;Asia-Pacific;Indonesia;Indonésie;Asie-Pacifique;Asia y el Pacífico;;;;;;
139;KHM;Cambodia;40,99;-0,02;"+5 (144 ; 40,97)";30,91;40,99;Difficult situation;Asia-Pacific;Camboya;Cambodge;Asie-Pacifique;Asia y el Pacífico;;;;;;
140;PSE;Palestine;41,01;-0,9;"-2 (138 ; 40,11)";52,42;38,16;Difficult situation;Middle East & North Africa;Palestina;Palestine;Moyen-Orient & Afrique du Nord;Oriente Medio y África del Norte;;;;;;
141;PHL;Philippines;41,19;2,5;"+8 (149 ; 43,69)";61,36;36,14;Difficult situation;Asia-Pacific;Filipinas;Philippines;Asie-Pacifique;Asia y el Pacífico;;;;;;
142;ETH;Ethiopia;41,83;-1,25;"+1 (143 ; 40,58)";64,07;36,28;Difficult situation;Africa;Etiopía;Éthiopie;Afrique;África;;;;;;
143;JOR;Jordan;42,07;-1,65;"-2 (141 ; 40,42)";17,92;42,07;Difficult situation;Middle East & North Africa;Jordania;Jordanie;Moyen-Orient & Afrique du Nord;Oriente Medio y África del Norte;;;;;;
144;MMR;Myanmar;42,08;-0,65;"+1 (145 ; 41,43)";51,87;39,63;Difficult situation;Asia-Pacific;Birmania;Birmanie;Asie-Pacifique;Asia y el Pacífico;;;;;;
145;BDI;Burundi;42,93;-2,43;"-3 (142 ; 40,5)";17,92;42,93;Difficult situation;Africa;Burundi;Burundi;Afrique;África;;;;;;
146;BGD;Bangladesh;42,95;-0,37;"0 (146 ; 42,58)";52,57;40,54;Difficult situation;Asia-Pacific;Bangladés;Bangladesh;Asie-Pacifique;Asia y el Pacífico;;;;;;
